7.000000000000000666e-01 2.406467037933496478e+00
1.000000000000000056e-01 1.386528468604484310e-01
2.000000000000000111e-01 1.169262380848037353e+00
3.000000000000000444e-01 1.647457165072609975e+00
4.000000000000000222e-01 1.940130946629229136e+00
5.000000000000000000e-01 2.142236115039293232e+00
5.999999999999999778e-01 2.291487224400996503e+00
8.000000000000000444e-01 2.497634945987164290e+00
9.000000000000000222e-01 2.571437949233347897e+00
1.000000000000000000e+00 2.632120558828557666e+00
1.100000000000000089e+00 2.682619874652242942e+00
1.200000000000000178e+00 2.725048559909493129e+00
1.300000000000000266e+00 2.760973805403395875e+00
1.400000000000000133e+00 2.791587526721616808e+00
1.500000000000000222e+00 2.817814987136951110e+00
1.600000000000000089e+00 2.840386787869929375e+00
1.700000000000000178e+00 2.859888133012296052e+00
1.800000000000000266e+00 2.876793483110464233e+00
1.900000000000000133e+00 2.891491518992230336e+00
2.000000000000000000e+00 2.904303503489589211e+00
2.100000000000000089e+00 2.915497036342538983e+00
2.200000000000000178e+00 2.925296525871621700e+00
2.300000000000000266e+00 2.933891276163943296e+00
2.400000000000000355e+00 2.941441812951347323e+00
2.500000000000000444e+00 2.948084888523338609e+00
2.600000000000000089e+00 2.953937482195971409e+00
2.700000000000000178e+00 2.959100027426375679e+00
2.800000000000000266e+00 2.963659036707461780e+00
2.900000000000000355e+00 2.967689252640070663e+00
